2015-2-17 CentOS 7,2*Xeon E5-2620 v2@2.10GHz(24 hardware threads), Oracle JDK1.7.0_72,Clojure 1.7.0-alpha3 32~1024 Connections (wrk2 Keep-Alive:Off)

|          Server | Port | Threads | Conns | Queries/Second | Mean Latency(s) | 99.99% Latency(s) | Error Rate(%) | Errors |   Total |
|   ring-undertow | 8096 |      16 |   512 |          16215 |          15.479 |             49.74 |         0.142 |   1387 |  974209 |
|   ring-undertow | 8096 |      16 |  1024 |          16006 |           15.27 |            56.399 |          0.53 |   5118 |  965441 |
|           vertx | 8097 |      16 |    32 |          29999 |           0.005 |             0.796 |           0.0 |      0 | 1799799 |
|           vertx | 8097 |      16 |    64 |          29993 |           0.001 |             0.153 |           0.0 |      0 | 1799600 |
|           vertx | 8097 |      16 |   128 |          29992 |           0.003 |             0.373 |           0.0 |      0 | 1799372 |
|           vertx | 8097 |      16 |   256 |          29984 |           0.002 |             0.032 |           0.0 |      0 | 1798817 |
|           vertx | 8097 |      16 |   512 |          29965 |           0.003 |             0.082 |           0.0 |      0 | 1797750 |
|           vertx | 8097 |      16 |  1024 |          29187 |           0.882 |              1.73 |           0.0 |      0 | 1751021 |
|        tomcat 8 | 8098 |      16 |    32 |          29999 |           0.003 |             1.009 |           0.0 |      0 | 1799762 |
|        tomcat 8 | 8098 |      16 |    64 |          29996 |           0.024 |             1.029 |           0.0 |      0 | 1799663 |
|        tomcat 8 | 8098 |      16 |   128 |          29966 |           0.075 |              1.96 |           0.0 |      0 | 1797829 |
|        tomcat 8 | 8098 |      16 |   256 |          29832 |           0.369 |             6.809 |         0.001 |     19 | 1789798 |
|        tomcat 8 | 8098 |      16 |   512 |          29640 |           0.528 |              10.0 |         0.005 |    103 | 1778306 |
|        tomcat 8 | 8098 |      16 |  1024 |          29567 |           0.736 |            11.989 |         0.041 |    743 | 1774586 |
|      immutant 2 | 8099 |      16 |    32 |          15864 |            16.5 |             28.77 |           0.0 |      0 |  951807 |
|      immutant 2 | 8099 |      16 |    64 |          16670 |           15.26 |            31.469 |           0.0 |      5 | 1000150 |
|      immutant 2 | 8099 |      16 |   128 |          16707 |          15.569 |            38.729 |         0.009 |     95 | 1002497 |
|      immutant 2 | 8099 |      16 |   256 |          16845 |          15.079 |            39.189 |         0.033 |    337 | 1011009 |
|      immutant 2 | 8099 |      16 |   512 |          16677 |           15.38 |             42.27 |         0.115 |   1160 | 1001738 |
|      immutant 2 | 8099 |      16 |  1024 |          15999 |          15.189 |            57.599 |         0.538 |   5201 |  965641 |

