2015-1-30 CentOS 7,2*Xeon E5-2620 v2@2.10GHz(24 hardware threads), Oracle JDK1.7.0_72,Clojure 1.7.0-alpha3 32~1024 Connections (wrk2 Keep-Alive:Off)

|          Server | Port | Threads | Conns | Queries/Second | Mean Latency(s) | 99.99% Latency(s) | Error Rate(%) |  Errors |   Total |
|   ring-undertow | 8096 |      16 |   512 |          16171 |            20.6 |             50.86 |         0.153 |    1488 |  971996 |
|   ring-undertow | 8096 |      16 |  1024 |          16160 |          19.649 |            56.399 |         0.562 |    5486 |  975022 |
|           vertx | 8097 |      16 |    32 |          31524 |           7.389 |             20.04 |           0.0 |       0 | 1891248 |
|           vertx | 8097 |      16 |    64 |          31351 |           7.449 |            21.729 |           0.0 |       0 | 1880921 |
|           vertx | 8097 |      16 |   128 |          30801 |           8.479 |            17.469 |           0.0 |       0 | 1847936 |
|           vertx | 8097 |      16 |   256 |          31236 |            7.94 |             15.17 |           0.0 |       0 | 1873941 |
|           vertx | 8097 |      16 |   512 |          31534 |           7.409 |             12.63 |           0.0 |       0 | 1892295 |
|           vertx | 8097 |      16 |  1024 |          28686 |            9.93 |             17.17 |           0.0 |       0 | 1720903 |
|        tomcat 8 | 8098 |      16 |    32 |          34875 |            4.55 |              8.59 |           0.0 |       0 | 2092336 |
|        tomcat 8 | 8098 |      16 |    64 |          36410 |            3.14 |             7.909 |           0.0 |       0 | 2184412 |
|        tomcat 8 | 8098 |      16 |   128 |          37210 |            2.41 |            11.159 |           0.0 |       2 | 2232407 |
|        tomcat 8 | 8098 |      16 |   256 |          36944 |            2.75 |             13.96 |         0.001 |      43 | 2216519 |
|        tomcat 8 | 8098 |      16 |   512 |          36704 |            2.99 |            19.319 |         0.013 |     296 | 2202312 |
|        tomcat 8 | 8098 |      16 |  1024 |          36499 |            3.15 |            22.069 |         0.046 |    1027 | 2190678 |
|      immutant 2 | 8099 |      16 |    32 |          16043 |          20.969 |             35.95 |           0.0 |       0 |  962554 |
|      immutant 2 | 8099 |      16 |    64 |          16194 |          20.879 |            39.389 |           0.0 |       5 |  971600 |
|      immutant 2 | 8099 |      16 |   128 |          16407 |          20.469 |            44.299 |         0.009 |      89 |  984458 |
|      immutant 2 | 8099 |      16 |   256 |          16278 |           20.52 |            46.369 |         0.034 |     340 |  976951 |
|      immutant 2 | 8099 |      16 |   512 |          16045 |          19.389 |             49.25 |         0.265 |    2570 |  966300 |
|      immutant 2 | 8099 |      16 |  1024 |          15747 |          19.719 |              52.2 |         0.688 |    6550 |  951304 |

